event,file_event,lam,prt_index,lam_pdg,lam_mom_x,lam_mom_y,lam_mom_z,lam_endpoint_x,lam_endpoint_y,lam_endpoint_z
2207,2206,0,4,3122,-0.9644244313240051,0.013672428205609322,39.609745025634766,-116.86899362350978,1.6710059465425628,4851.143894632192
2213,2212,0,4,3122,-0.9756201505661011,-0.06778888404369354,38.78131103515625,-89.3816059244525,-6.241900332393495,3512.9308842746423
2214,2213,0,4,3122,-0.9643797278404236,0.10238175094127655,40.966365814208984,-86.30595792432403,9.148475391774454,3664.528249675031
2216,2215,0,4,3122,-1.0599420070648193,0.05426614731550217,39.670379638671875,-107.05425941359476,5.481835550127921,4044.448489267982
2223,2222,0,4,3122,-0.9842175245285034,0.07279951125383377,39.735809326171875,-92.78454429173055,6.850177804522108,3741.5482647275758
2227,2226,0,4,3122,-0.8254860043525696,-0.12092586606740952,40.15723419189453,-86.74134312740651,-12.781343518706532,4181.942159070382
2228,2227,0,4,3122,-0.931402862071991,-0.03550882264971733,39.138702392578125,-108.56834954881283,-4.172662513844311,4547.954013056603
2229,2228,0,4,3122,-0.9715840220451355,-0.026455001905560493,40.58028793334961,-122.20879527728901,-3.3353536232942975,5100.806219441915
2235,2234,0,4,3122,-0.9002543091773987,0.06198965758085251,38.65399169921875,-117.73646243856722,8.119291793733861,5044.2325651796555
2250,2249,0,4,3122,-1.0047376155853271,0.030776966363191605,39.67700958251953,-129.97266697868903,3.9565318638630904,5155.830867007541
2251,2250,0,4,3122,-0.9161515831947327,-0.041541557759046555,37.64347839355469,-232.15229236289716,-10.554273625114968,9574.610143098651
2258,2257,0,4,3122,-0.8772963881492615,-0.023724708706140518,40.27151870727539,-222.97785448576815,-6.0124549398714136,10224.516661001802
2264,2263,0,4,3122,-1.065091609954834,-0.21143381297588348,40.67606735229492,-124.42938411306918,-24.62642489162032,4684.5079188455165
2270,2269,0,4,3122,-0.9447882771492004,-0.1614028513431549,39.75875473022461,-156.55460498928065,-26.73447836307235,6561.835112836903
2271,2270,0,4,3122,-1.0830351114273071,-0.00429608765989542,40.779300689697266,-157.3845472653489,-0.5878244696744046,5901.382132896933
2275,2274,0,4,3122,-1.0645456314086914,0.10672371089458466,40.065364837646484,-139.09565292163933,13.968808733472445,5308.0589981488065
2278,2277,0,4,3122,-0.8975231051445007,0.023842114955186844,40.0506591796875,-88.79433672305674,2.3441121853905735,3958.6787376032207
2280,2279,0,4,3122,-1.0181769132614136,-0.057137832045555115,40.83158493041992,-179.55334746992696,-10.053091641041515,7221.579082406017
2283,2282,0,4,3122,-1.1350862979888916,-0.08934272825717926,40.25240707397461,-214.5327683612925,-16.931313048115364,7619.045031551522
2288,2287,0,4,3122,-0.8907657861709595,-0.007133620325475931,38.13508987426758,-87.53381249639781,-0.6903391016095811,3759.1568014715085
2289,2288,0,4,3122,-0.9833475351333618,-0.03089366853237152,38.725921630859375,-390.179989904359,-12.254357846189299,15359.091172388195
2293,2292,0,4,3122,-1.0380440950393677,0.0489174909889698,40.913516998291016,-103.47479278015784,4.861898030909988,4098.60160547855
2295,2294,0,4,3122,-0.9307432174682617,-0.05803806334733963,38.02299499511719,-351.09901352005295,-21.90447951347335,14337.120129181401
2296,2295,0,4,3122,-0.8806248903274536,-0.05812565237283707,39.62317657470703,-114.90024796007154,-7.597135794770571,5133.139680909653
2301,2300,0,4,3122,-1.1152381896972656,-0.06401589512825012,39.333499908447266,-121.27684601594137,-6.962397252502663,4243.897690341449
2304,2303,0,4,3122,-1.0689109563827515,0.1499040126800537,40.409202575683594,-93.84190763171222,13.056112172837857,3520.733015219106
2309,2308,0,4,3122,-0.9806585311889648,-0.062291547656059265,37.69150161743164,-368.72472695002165,-23.423871083996637,14210.035547090032
2310,2309,0,4,3122,-0.9727770090103149,0.010715451091527939,38.07517623901367,-410.61144400487893,4.508683413477921,16044.54332015734
2312,2311,0,4,3122,-1.0026789903640747,-0.11668143421411514,39.94557571411133,-442.190441926614,-51.48177278977259,17588.116796752136
2316,2315,0,4,3122,-1.05037522315979,-0.040639061480760574,38.68018341064453,-108.50750621455683,-4.215029469091065,3966.17420788464
2322,2321,0,4,3122,-1.0211896896362305,0.017785342410206795,39.55693435668945,-168.0464327508932,2.916813316376999,6554.113786847165
2327,2326,0,4,3122,-1.07626473903656,-0.15060225129127502,40.484344482421875,-148.39385054319902,-20.770050790014057,5590.202598687168
2331,2330,0,4,3122,-0.9614863991737366,-0.08519673347473145,38.68606948852539,-94.63084478856659,-8.408417763550249,3757.552985505608
2332,2331,0,4,3122,-1.0919541120529175,0.10978785902261734,39.21629333496094,-162.71572975424502,16.325399783369477,5856.365501046616
2334,2333,0,4,3122,-1.0439108610153198,0.11661314964294434,38.74530029296875,-206.40964589822795,23.02268481306711,7639.9151829047205
2335,2334,0,4,3122,-0.8494091033935547,-0.07338663190603256,39.65623092651367,-161.3482159618359,-13.946800155262467,7495.611843102845
2338,2337,0,4,3122,-1.0348308086395264,0.05675960332155228,40.432945251464844,-96.43451477040941,5.302118855957433,3756.1111482335546
