event,file_event,lam,prt_index,lam_pdg,lam_mom_x,lam_mom_y,lam_mom_z,lam_endpoint_x,lam_endpoint_y,lam_endpoint_z,neut_pdg,neut_mom_x,neut_mom_y,neut_mom_z,neut_endpoint_x,neut_endpoint_y,neut_endpoint_z,pizero_pdg,pizero_mom_x,pizero_mom_y,pizero_mom_z,pizero_endpoint_x,pizero_endpoint_y,pizero_endpoint_z
5463,462,0,4,3122,-0.8917669057846069,-0.13593505322933197,39.96623229980469,-12.008914114880515,-1.8481621584597627,578.4049916924649,2112,-0.8338501453399658,-0.055292822420597076,36.569129943847656,-828.0085328583233,-55.68987996470702,36407.23250243234,111,-0.05791676416993141,-0.0806422233581543,3.3971047401428223,-12.008939417235126,-1.848197388986872,578.4064758007214
5478,477,0,4,3122,-1.0135459899902344,-0.04615675285458565,38.9959716796875,-29.12265695013732,-1.3145886088477643,1125.8022388920606,2112,-0.7987825274467468,0.014173543080687523,29.934770584106445,-955.5089581768029,15.123147349368873,35842.58911853277,111,-0.21476352214813232,-0.06033029779791832,9.061199188232422,-29.12266156848657,-1.3145899062114152,1125.8024337472357
5483,482,0,4,3122,-0.9447750449180603,0.12204861640930176,40.07857131958008,-20.349579031706202,2.6593185245429227,870.3574759741545,2112,-0.764563262462616,0.08046789467334747,30.59686851501465,-897.3288117638427,94.82632257544209,35968.06092702374,111,-0.18021173775196075,0.04158071428537369,9.48170280456543,-20.349610795333138,2.6593258534456283,870.3591471930516
5492,491,0,4,3122,-1.1268589496612549,0.10104865580797195,39.90874481201172,-25.45917308220224,2.279847021022114,871.2028322788401,2112,-1.061557412147522,0.04000958055257797,36.92979431152344,-858.2550875277223,33.72147045774902,29843.49233776818,111,-0.06530148535966873,0.06103907525539398,2.9789507389068604,-25.459175401299202,2.2798491887451666,871.2029380723845
5498,497,0,4,3122,-1.1094324588775635,0.15490509569644928,40.42748260498047,-66.86202677214449,9.352042243520067,2375.6407864566727,2112,-0.8647952079772949,0.038268156349658966,33.123050689697266,-945.4357950075181,48.07037804178718,36023.34778618902,111,-0.24463720619678497,0.11663694679737091,7.3044304847717285,-66.86206589126868,9.352060894546378,2375.641954483891
5505,504,0,4,3122,-0.9755674004554749,-0.10126198083162308,40.62289810180664,-12.171714475010651,-1.236944369678205,454.43736071454475,2112,-0.7475944757461548,-0.15960627794265747,32.156124114990234,-142.33383931092405,-29.0256638107836,6053.073539617687,111,-0.22797292470932007,0.05834430083632469,8.46677303314209,-12.171720519035608,-1.2369428228523345,454.43758518589846
5507,506,0,4,3122,-1.0818506479263306,0.11318476498126984,40.98384475708008,-25.13338036151646,2.6593804660678835,910.945775702859,2112,-0.8509186506271362,0.18251430988311768,34.28621292114258,-151.57121957832467,30.21611079162188,6005.752569795311,111,-0.23093204200267792,-0.06932953745126724,6.697630405426025,-25.133565900248705,2.6593247643334683,910.9511568093834
5510,509,0,4,3122,-0.924377977848053,0.10490397363901138,39.588722229003906,-16.65616017905753,1.883212301744103,663.1677121113576,2112,-0.8705499768257141,0.022984754294157028,33.9073486328125,-918.6205948698098,25.697389404763793,35794.08892450611,111,-0.05382798984646797,0.08191921561956406,5.681372165679932,-16.65618437403087,1.88324912335458,663.1702658133685
5519,518,0,4,3122,-1.038132905960083,0.07867800444364548,38.482093811035156,-27.56146526373164,2.0869835942465262,987.2391245405403,2112,-0.9801894426345825,0.13957048952579498,33.824066162109375,-1034.5811417448247,145.48180274857023,35736.65625566323,111,-0.05794350802898407,-0.060892488807439804,4.658026695251465,-27.56147498104251,2.086973382381731,987.2399057065102
5520,519,0,4,3122,-0.9696524739265442,-0.0030462404247373343,38.07257080078125,-61.07934901950556,-0.19987636983365847,2393.148482471186,2112,-0.9460269808769226,0.04088541865348816,34.571197509765625,-992.6088669918136,41.481663378525475,36460.20663773208,111,-0.023625515401363373,-0.04393165931105614,3.5013697147369385,-61.07934994166955,-0.19987808459811326,2393.148619138556
5528,527,0,4,3122,-1.0022237300872803,-0.11530403047800064,40.9351921081543,-16.409169281149723,-1.885843210581637,577.0802799387436,2112,-0.9873287677764893,-0.11697877943515778,36.97999572753906,-958.4065752028664,-113.61973103978939,35864.611852178,111,-0.01489496324211359,0.0016747465124353766,3.9551947116851807,-16.40916928362406,-1.8858432103034297,577.0802805957765
5531,530,0,4,3122,-0.9602982997894287,-0.1491592973470688,40.77070617675781,-44.50595817334205,-6.931745306250606,1922.6929165809172,2112,-0.7208375334739685,-0.05360354483127594,33.729095458984375,-766.3697495351837,-60.611606443274106,35699.807974346746,111,-0.2394607812166214,-0.09555575996637344,7.041610240936279,-44.50597619380943,-6.931752497237973,1922.6934464927963
5532,531,0,4,3122,-0.9027973413467407,-0.10190164297819138,39.14214324951172,-38.24983164757114,-4.32815270627593,1705.7553144403398,2112,-0.6667749285697937,-0.10887472331523895,33.30622100830078,-184.39921689241396,-22.947657213680206,9149.597635121081,111,-0.23602238297462463,0.0069730766117572784,5.8359222412109375,-38.24986271661385,-4.32815178836802,1705.7560826578067
5538,537,0,4,3122,-1.0110924243927002,0.14087389409542084,39.55868148803711,-49.64751408138444,6.903138058563652,1864.8868179854617,2112,-0.9922760128974915,0.10389146208763123,36.151554107666016,-983.1837866075322,104.64454072337128,35876.37796135779,111,-0.018816392868757248,0.03698243573307991,3.4071285724639893,-49.64751516989091,6.903140197954417,1864.8870150838839
